word,క్రి.రూపం.,meaning,annotation
ధ్వానకుడు,"""",ధ్వనిచేయువాడు,
నంగ,విణ,నంగనాచి,
నంగి,"""","ముక్కుతో పలుకబడినది,స్పష్టముకానిది",
నంజుడుదిండి,"""",మాంసముతినువాడు,
నంటుకత్తే,"""",ప్రియురాలు,
నంటుకాడు,"""","ప్రియుడు,వలపుకాడు",
నంత,సం.విణ,"నమస్కరించువాడు,వంగువాడు",
నంతవ్యుడు,"""","నమస్కరింపదగినవాడు,పూజింపదగినవాడు",
నందకము,"""","సంతోషించునది,ఆనందించునది,సంతోషపెట్టునది,ఆనందింపజేయబడినది",
నందనము,"""","హర్షకము,సంతోషపెట్టునది,సంతోషించునది",
నంది,"""","ఆనందించువాడు,ఆనందింపజేయువాడు",
నందివర్ధనుడు,"""",సంతోషమును వృద్ధి పరచువాడు,
నకాషి,"""",నకిషీపని చేసినది,
నక్క,"""",చిన్నది,
నక్కచిక్కులమారి,"""","నక్కచిక్కులుకలవాడు,దుష్టుడు,దుష్టురాలు",
నక్తంచరము,"""",రాత్రియందు తిరుగునది,
నక్తంతనము,"""","రాత్రియందలిది,రాత్రిది",
నక్తచారి,"""",రాత్రి తిరుగువాడు,
నక్తభోజి,"""","రాత్రి భుజించువాడు,వ్రతార్ధము పగలు తినక రాత్రులు మాత్రము తినువాడు",
నక్షత్రదర్శుడు,"""",నక్షత్రములు చూచువాడు,
నఖంపంచము,"""",గోరు వెచ్చనిది,
నఖలేఖకుడు,"""",గోళ్లమీద చిత్రించుట వృత్తిగా కలవాడు,
నఖాషి,"""",నఖములు తినునది,
నఖి,"""","పెద్ద నఖములు కలది,ముండ్లు కలది",
నగజము,"""",కొండలయందు పుట్టినది,
నగభిత్తు,"""",పర్వతములను బ్రద్దలు కొట్టువాడు,
నగవరి,"""","నవ్వుకలవాడు,పరిహాసికుడు",
నగవు-నవ్వు,"""","హాస్యాస్పదము,పరిహాసపాత్రము",
నగాశ్రయము,"""",నగము మీద నివాసముకలది,
నగుబాటు,విణ,"అపహాస్యము,ఎగతాళి చేయదగినది",
నగ్నంకరణము,సం.విణ,దిస్స మొలవానినిగా చేయుటకు సాధనమైనది,
నగ్నంభవిష్ణువు,"""",దిస్సమొలవాడుగాఅగువాడు,
నగ్నముషితుడు,"""",వస్త్రాదులపహరించుటచేదిసమొలవాడైనవాడు,
నగ్నాటుడు,"""",దిస్సమొలలతో తిరుగువాడు,
నగ్నీకృతుడు,"""",నగ్నుడుగా చేయబడినవాడు,
నగ్నుడు,"""","వివస్త్రుడు,",
నచ్చుకాడు,"""","అలసుడు,మందుడు,బాధకుడు,పీడించువాడు",
నచ్చుకుప్ప,విణ,"నచ్చుగొట్టు,బాధకుడు",
నచ్చుగొట్టు,"""","నచ్చుపెట్టువాడు,బాధించు స్వభావము కలవాడు",
నజీబు,"""",మంచిది,
నజ్జు-నరుజు,"""",మిక్కిలి నలగినది,
నటిత,సం.విణ,"నటించువాడు,నర్తనము చేయువాడు",
నటితము,"""","నటింపబడినది,అభినయిoపబడినది,నటించినది",
నటితవ్యము,"""",నటింపదగినది,
నడ-నడక,విణ,నడచునది,
నడకీయము,సం.విణ,కిక్కసగడ్డి కలది,
నడభక్తము,సం.విణ,నడప్రాయము,
నడవడికాడు,విణ,ప్రవర్తనముకలవాడు,
నడశము,సం.విణ,నడముతోకూడినది,
నడి,"""",నడతృణము అధికముగాకలది,
నడిమివాడు,విణ,మధ్యముడు,
నడిలము,సం.విణ,కిక్కసకసవు కలది,
నడుమంత్రము-నడుమంతరము,విణ,మధ్యకాలమున కలిగినది,
నడుము,విణ,"మధ్యనుండువాడు,మధ్యనుండినది",
నడులేత,"""","మిక్కిలిలేత,ముదురు కానిది",
నడ్డిముక్కువాడు,"""",చప్పటముక్కు కలవాడు,
నడ్వంతము,సం.విణ,కిక్కసకసవు అధికముగా కలది,
నడ్వలము,"""",కిక్కసకసవు అధికముగా కలది,
నతనాసికుడు,"""",చప్పటముక్కు కలవాడు,
నతము,"""","నమ్రీభూతము,వంగినది,నమస్కరించునది,కుటిలము,అణగినది,లోతైనది",
నతాంగము,"""","వంగినదేహము కలది,వంగినది",
నతోన్నతము,"""","నిమ్నోన్నతము,మెరకపల్లములుగా నుండునది",
నత్తివాడు,విణ,"నత్తికలవాడు,లోహలుడు",
నదీకులప్రియము,సం.విణ,నదీతీరమందిష్టముకలది,
నదీజము/నదీభవము,"""",నదియందుపుట్టినది,
నదీమాత్రుకము,"""",ఏటినీళ్ల చేత పండెండుపైరు కలది,
నదీష్ణుడు,"""","నదీస్నానమునందు కుశలుడు,నదిలో మునుగుట ఈదుటలో నేర్పరి",
నద్ధము,"""","బద్ధము,కట్టబడినది,కూర్పబడినది,ఖచితము,తాపబడినది",
ననుపుకత్తే,విణ,"ప్రియురాలు,విటురాలు",
ననువు(న్పు)కాడు,"""","విటుడు,వలపుకాడు",
నన్న,"""",కురచ,
నన్ని,"""","ప్రియము,సుందరము",
నన్పు-ననుపు,"""",అనురక్తము,
నభము,సం.విణ,"కాంతిలేనిది,నక్షత్రములు లేనిది,హింసకము,హింసించునది",
నభశ్చరము,"""",ఆకాశమున సంచరించునది,
నభోగతి,"""",ఆకాశామునందు గమనముకలది,
నభోగము,"""",ఆకాశమునపోవునది,
నభోలిహము,"""","ఆకాశమునునాకునది,ఆకాశము నొరయునది,మిక్కిలిఎత్తైనది",
నభ్యము,"""",నాభికి తగినది,
నభ్రాట్టు,"""",ప్రకాశింపనిది,
నమతము,"""","నమ్రము,వంగినది,కుటిలము,వంకరైనది,పొట్టిది",
నమనము,"""","వంగునది,వంచునది,మ్రొక్కునది,మ్రొక్కించునది",
నమయమానము,"""","వంచుచున్నది,నమస్కరింపజేయుచున్నది",
నమసుడు,"""",అనుకూలుడు,
నమస్కారి,"""",నమస్కరించువాడు,
నమస్కృతుడు,"""","నమస్కరింపబడినవాడు,పూజింపబడినవాడు",
నమస్యితుడు,"""","నమస్కరింపబడినవాడు,అర్చితుడు,పూజితుడు",
నమస్యుడు,"""","నమస్కరింపదగినవాడు,పూజింపదగినవాడు,నమస్కరించువాడు,పూజించువాడు",
నమిత,"""","వంచువాడు,నమస్కరింపజేయువాడు",
నమితము,"""","వంపబడినది,నమ్రమైనది,వంగినది,నమస్కరింపబడినది",
నమ్మినకాపు,విణ,విడువకకనిపెట్టుకొనియుండువాడు,
నమ్మినవాడు,"""","ఆప్తుడు,విశ్వసించినవాడు",
నమ్యమానము,సం.విణ,"వంపబడుచున్నది,నమస్కరింపబడుచున్నది,పూజింపబడుచున్నది",
నమ్యుడు,"""","నమస్కరింపదగినవాడు,పూజనీయుడు,వంపదగినవాడు",
నమ్రకము,"""","నతము,వంగినది",
నమ్రము,"""","నతము,వంగినది,లోతైనది,అడకువకలది,వినయాన్వితము,మ్రొక్కినది",
నమ్రితము,"""","నమ్రముగా చేయబడినది,వంపబడినది",
నయకోవిదుడు,"""",నీతి చక్కగా తెలిసినవాడు,
నయగారము,విణ,కపటమైనది,
నయగారి,"""","మనోహరము,ప్రియము",
నయనగోచరము,సం.విణ,"కంటికి కనబడునది,చూపుమేరలోనిది",
నయమానము,"""",పొందించుచున్నది,
నయము-నయ,విణ,"రమ్యము,అందమైనది",
నయము,సం.విణ,"నడపునది,కొనిపోవునది,పొందించునది,న్యాయమునుండితప్పనిది",
నయశాలి,"""","నీతిచే ఒప్పువాడు,న్యాయశీలుడు",
నరప్రియము,"""",మనుజులకిష్టమైనది,
నర్తకుడు,"""","నాట్యమాడువాడు,ఆలోచించునపుడు సందేహాదులచేవ్రేళ్ళు తలమొ..ఆడించువాడు",
నర్తనప్రియుడు,"""",నాట్యమందు ఇష్టము కలవాడు,
నర్తము,"""","నర్తించునది,ఆడునది",
నర్తయిత,"""","నర్తింపజేయువాడు,ఆడించువాడు",
నర్తితము,"""","ఆడింపబడినది,నృత్యము చేయింపబడినది,నర్తించునది,ఆడునది",
నర్దనము,"""","ధ్వనిచేయునది,అరచునది",
నర్ధము,"""","శభ్ధించునది,మ్రోగునది,అర్చునది,బొబ్బరించునది",
నర్దితము,"""","ఘోషించినది,మ్రోగినది",
నర్మగర్భము,"""",పరిహాసములోపల కలది,
నర్మదుడు,"""","పరిహాసము చేయువాడు,వినోదమునిచ్చువాడు",
నర్మవంతము,"""","వినోదముకలది,నవ్వుటాలతో కూడినది",
నర్యము,"""",నరునకు హితమైనది,
నఱమ,విణ,"కృత్రిమమైన,కపటముగల",
నఱుజు,"""","అణువు,చిన్నది",
నలకన,"""",సూక్ష్మము,
నలత-అలత,"""",అల్పరోగముకలవాడు,
నలిగులి,"""","మిక్కిలి నలగినది,అత్యంతమృదితము",
నలిగొట్టు,"""","సన్నమైనది,హీనస్వరమైనది",
నలితిండికాడు,"""",సోమరి,
నలిబలి,"""",కొఱుకబడినది,
నలువు(ల్వు),విణ,"చక్కనిది,ఒప్పుకలది,సమర్ధము,శక్తి కలది",
నల్ల-నల,"""",నల్లనిది,
నవకము,"""","మృదులము,కోమలము,అందమైనది",
నవచత్వారింశత్తు,సం.విణ,నలువదితొమ్మిదిoటియందుండుసంఖ్యకలది,
నవచత్వారింశము,"""",నలువదితొమ్మిదవది,
నవతము,"""",తొంబదియవది,
నవతి,"""",తొంబదింటియందుండుసంఖ్యకలది,
నవత్రింశత్తు,"""",ముప్పదితోమ్మిదింటి యందుండు సంఖ్యకలది,
నవత్రింశము,"""",ముప్పదితొమ్మిదవది,
నవదశము,"""",పందోమ్మిడవది,
నవదీధితి,"""","క్రొత్తకాంతికలవాడు,తొమ్మిది కిరణములు కలవాడు",
నవద్వారము,"""",తొమ్మిదిద్వారములు కలది,
నవనతము,"""",తొంబదితొమ్మిదవది,
నవనీతము,"""","క్రొత్తగా పొందింపబడినది,క్రొత్తగా తీయబడినది",
నవనీయము-నోతవ్యము,"""",నుతింపదగినది,
నవపంచాశత్తు,"""",ఏబదితొమ్మిదింటనుండుసంఖ్యకలది,
నవపంచాశము,"""",ఏబదితొమ్మిదవది,
నవమము,"""",తొమ్మిదవది,
నవము,"""","కొత్తది,లేతది,ఆధునికము,ఇప్పటిది",
నవషష్టము,"""",అరువదితొమ్మిదవది,
నవషష్టి,"""",అరువదితొమ్మిదింటియందుండు సంఖ్యకలది,
నవసప్తము,"""",డెబ్బదితొమ్మిదవది,
నవసప్తతి,"""",డెబ్బదితొమ్మిదింటనుండుసంఖ్యకలది,
నవాశీతము,"""",ఎనుబదితొమ్మిదవది,
నవాశీతి,"""",ఎనుబదితొమ్మిదింటియందుండుసంఖ్యకలది,
నవిత,"""",నుతించువాడు,
నవితవ్యము,"""",నుతింపదగినది,
నవిష్టము,"""","నవతమము,మిక్కిలి క్రొత్తది,పెక్కింటిలో క్రొత్తది",
నవీనము,"""","క్రొత్తది,ఆధునికము,ఇప్పటిది",
నవుకు-నౌకు,విణ,"పల్లము,నిమ్నము",
నవురు-నౌరు,"""","మృదువు,మెత్తనిది",
నవోధృతము,సం.విణ,క్రొత్తగా ఎత్తబడినది,
నవ్యము,"""","క్రొత్తది,ఆధునికము,ఇప్పటిది,నుతింపదగినది",
నవ్వులబండి,విణ,నవ్వెడుస్వభావముకలది,
నశము,సం.విణ,నశించునది,
నశిత,"""",నశించువాడు,
నశ్యము,"""","నాశార్హము,నశింపదగినది",
నశ్వరము,"""","నశించునది,నాశశీలము,నశించుస్వభావముకలది,శాశ్వతముకానిది",
నష్టచేతనుడు,"""","తెలివితప్పినవాడు,మూర్చిల్లినవాడు",
నష్టము,"""","నశించినది,తిరోహితము,మరుగుపడినది,దూషితము,చెడినది",
నష్టస్మృతి,"""","చెడినస్మృతికలది,మరపుకలది",
నసగూటి,విణ,"కామోద్రేకముకలవాడు,కామోద్రేకముకలది",
నసగొట్టు-నసగొంటు,"""","కామోద్రేకముకలవాడు,విటుడు",
నసుకు,"""",అసత్యమైనది,
నస్యము,సం.విణ,"నాసికకు హితమైనది,నాసికయందుపుట్టినది,నాసికయందున్నది",
నాంతము,"""","అనంతము,అంతములేనిది,నకారము అంతమందు కలది",
నాంతరీయకము,"""","అవినాభూతము,వేరుపడియుండనిది,పీడని సంబంధముకలది",
నాందీముఖుడు,"""",నాందీముఖశ్రాద్ధమును అనుభవించువాడు,
నాకులము,"""",నకులసంబంధమైనది,
నాక్రము,"""",నక్రసంబంధమైనది,
నాక్షత్రము,"""",నక్షత్రసంబంధమైనది,
నాక్షత్రికము,"""","నక్షత్రమువలనకలిగినది,నక్షత్రమునిమిత్తముగాకలది",
నాగ,విణ,పూజ్యము,
నాగము,సం.విణ,"కొండలకుసంబంధించినది,క్రూరమైనది,పామువలెపొడుగైనది",
నాగరకుడు,"""","నగరమందుపుట్టినవాడు,ప్రవీణుడు,నేర్పరి,నగరదురభ్యాసములుఅలవడ్డవాడు",
నాగరము,"""","నగరమునపుట్టినది,నగరమునఉన్నది,నగరమునకుసంబంధించినది",
నాగరికుడు,"""","నగరరక్షణమందునియక్తుడు,నగరము రక్షించువాడు",
నాగరేయకము,"""","నగరియందుపుట్టినది,నగరియందున్నది",
నాగి,"""",పాములుకలది(పుట్ట మొ..వి),
నాటకీయము,"""",నాటకసంబంధమైనది,
నాటకుడు,"""","నటుడు,ఆటకాడు",
నాటి,"""","నటించువాడు,నర్తనము చేయువాడు",
నాటితము,"""","కృతాభినయము,అభినఇంపబడినది,అనుకరింపబడినది",
నాడిoధమము,"""","నాడులను చలింపజేయునది,శ్వాసమును అధికముగాకలిగించునది(భయాది)",
నాడింధయుడు,"""",గొట్టముతో పాలు మొ..వి త్రాగువాడు,
నాడెకత్తే-నాణేకత్తే,విణ,నాడెముకలది,
నాడెకాడు-నాణేకాడు,"""",నాడెముకలవాడు,
నాణెము-నాడెము,"""","మంజులము,మనోహరము",
నాతికఠనము,సం.విణ,"అనతికఠినము,మిక్కిలిగట్టిదికానిది",
నాతిచిరము,"""","అనతిచిరము,అతిచిరముకానిది,దీర్ఘకాలపుదికానిది,స్వల్పకాలపుది",
నాతిదూరము,"""","మిక్కిలిదూరముకానిది,ఇంచుకదూరమైనది",
నాతివాదము,"""",పరుషభాషణములేనిది,
నాథవంతుడు,"""","నాథుడుకలవాడు,పరాధీనుడు",
నాదారు,విణ,"బీద,దరిద్రుడు,చిక్కినవాడు,క్రుశించినవాడు",
నాదేయము,సం.విణ,"నదీసంబంధమైనది,నదీభవము,గ్రహింపదగనిది,అదేయముకానిది,ఇయ్యదగినది",
నానగండ,విణ,"సిగ్గుమాలినవాడు,సంకోచములేనివాడు",
నానాంద్రము,సం.విణ,"ననాందసంబంధమైనది,ఆడుబిడ్డకుసంబంధించినది",
నానుడు,విణ,తడిసినది,
నాభిలుడు,సం.విణ,"పెద్దబొడ్డుకలవాడు,ఉఱుకుబొడ్డువాడు",
నామకుడు,"""","వంగువాడు,వంచువాడు,నమస్కరించువాడు",
నామధారకుడు/నామధారి,"""","పేరుధరించువాడు,పేరుమాత్రముకలవాడు,సార్ధకతలేనివాడు",
నామమాత్రము,"""","సంజ్ఞామాత్రధారి,పేరుమాత్రముకలది",
నామవాచకము,"""",నామమును చెప్పునది,
నామశేషము,"""","పేరుమాత్రము మిగిలినది,మృతము,చచ్చినది",
నామాంకము,"""","నామముగురుతుగా కలది,గురుతుగాపేరువేయబడినది",
నామ్యము,"""","వంపదగినది,నమస్కరింపజేయదగినది",
నాయడు-నాయిడు,విణ,"శ్రేష్టుడు,గొప్పవాడు",
నాయకుడు,సం.విణ,"ప్రాపకుడు,పొందించువాడు,నడపువాడు,ప్రదాన్యుడు,ముఖ్యుడు",
నాయము,విణ,"న్యాయయుక్తమైనది,యుక్తము",
నారకము,సం.విణ,నరకసంబంధమైనది,
నారకి/నారకికుడు,"""","నరకమందుండువాడు,నరకమనుభవించువాడు",
నారకీటుడు,"""","మొదటఆశకలిగించి తుదకు ఆశాభంగము చేయువాడు,మోసగాడు",
నారకీయము,"""",నరకసంబంధి,
నారము,"""",నరసంబంధమైనది,
నారసింహము,"""",నరసింహసంబంధమైనది,
నారాయణీయము,"""",నారాయణసంబంధమైనది,
నార్పత్యము,"""",నృపతిసంబంధమైనది,
నాలవవాడు,విణ,"నాల్గవవాడు,చతుర్ధుడు,నాలుగవతరమువాడు",
నాలి,"""","కుత్సితము,అల్పము",
నాలిబూతము,"""","కుత్సితుడు,కుత్సితురాలు",
నాలిముచ్చు,"""","కుత్సితము,మందము",
"నాలుగు-నాలువు,నాల్గు","""","కొంచెము,అల్పము",
నాళము,సం.విణ,నడత్రుణసంబంధమైనది,
నావకుడు,"""",నుతించువాడు,
నావనీతము,"""",నవనీతసంబంధమైనది,
నావ్యము,"""","నావచేదాటదగినది(దేశము,నది మొ..)",
నాశకుడు,"""","నాశముచేయువాడు,నశింపజేయువాడు,నశించువాడు",
నాశనము,"""",నాశముచేయునది,
నాశయిత,"""",నశింపజేయువాడు,
నాశితము,"""","నాశముచేయబడినది,నశింపచేయబడినది",
నాశ్యము,"""","నాశముచేయదగినది,నశింపజేయదగినది",
నాష్టికుడు,"""","నష్టద్రవ్యమునకుస్వామి,పోయినసొమ్మునకు అధికారి",
నాసికంధముడు,"""","ముక్కుతోఊదువాడు,ముక్కుతోధ్వని చేయువాడు",
నాసికంధయుడు,"""","ముక్కుతో త్రాగువాడు,ముక్కుతో ఎగబీల్చువాడు",
నాసిక్యము,"""","నాసికయందుపుట్టినది,నాసికయందున్నది",
నాసీరము,"""","అగ్రేసరము,ముందుపోవునది",
నాస్తికుడు,"""",పరలోకములేదు అనునమ్మకముకలవాడు,
నిఃక్షత్త్రము,"""",క్షత్రియశూన్యము,
"నిండు-నిండబడు,నిండారు,నిండుకొను",విణ,పూర్ణమయినది,
నిందకుడు/నిందిత,సం.విణ,నిందించువాడు,
నిందితము,"""","గర్హితము,నిందింపబడినది,నిషేదింపబడినది,అధమము,నీచము",
నింద్యమానము,"""",నిందింపబడుచున్నది,
నింద్యము,"""","నిందింపదగినది,దూరదగినది,గర్హ్యము",
నింపాది,విణ,"సమృద్ధము,సుఖితము",
నికటము,"""","అవిచ్చిన్నము,ఎడలేనిది",
నికటము,సం.విణ,"దేశకాలములచేసన్నిహితమైనది,ఆసన్నము",
నికరము-నిగరము,విణ,"శ్రేష్ఠము,సారభూతము",
నికామము,సం.విణ,"అధికమైనది,అధికమగుకోరికకలది",
నికారము,"""","శఠము,దుష్టము",
నికాశము,"""","నీకాశము,తుల్యము",
నికృoతనము,"""","త్రుంచునది,కత్తిరించునది",
నికృతము,"""","పరాభూతము,భంగపరుపబడినది,అవమానింపబడినది,దూరీకృతము,త్రోసివేయబడినది",
నికృత్తము,"""",నరకబడినది,
నికృష్టము,"""","అధమము,జాతి వృత్తిహీనము",
నిక్కుబోతు,విణ,గర్వస్వభావముకలవాడు,
నిక్కువము-నిక్కము,"""",యధార్థము,
నిక్తము,సం.విణ,"కడుగబడినది,శుద్ధముచేయబడినది",
నిక్షిప్తము,"""","త్యక్తము,విడువబడినది,ఇల్లడపెట్టబడినది,తాకట్టుగాఉంచబడినది",
నిక్షేపకుడు,"""",నిక్షేపించువాడు,
నిక్షేపణీయము,"""","ఉంపదగినది,విడువదగినది,పాతదగినది",
నిక్షేపితము,"""","ఇల్లడపెట్టింపబడినది,వ్రాఇంపబడినది,చెక్కింపబడినది",
నిక్షేప్త,"""",నిక్షేపించువాడు,
నిఖనకుడు,"""","త్రవ్వువాడు,పాతిపెట్టువాడు",
నిఖర్వుడు,"""","అతివామనుడు,మిక్కిలిపొట్టివాడు",
నిఖాతము,"""","త్రవ్వబడినది,పాతబడినది,నాటబడినది",
నిఖిలము,"""","సర్వము,అంతయు",
నిగదితము,"""","చెప్పబడినది,స్పష్టముగాచెప్పబడినది",
నిగమి,"""",వేదమును ఎరిగినవాడు,
నిగరణీయము,"""","తినదగినది,మ్రింగదగినది",
నిగరము-నిగారము,విణ,"నికరము,శేష్టము,సారభూతము,పెద్దది,గొప్పది",
నిగరి(రీ)త,సం.విణ,"తినువాడు,మ్రింగువాడు",
నిగారకము,"""","మ్రింగునది,భక్షించునది",
నిగారకుడు/నిగారి,"""","తినువాడు,మ్రింగువాడు",
నిగీర్ణము,"""","కబళితము,మ్రింగబడినది,భక్షింపబడినది,లోపలఇమిడింపబడినది",
నిగీర్యమాణము,"""","తినబడుచున్నది,మ్రింగబడుచున్నది",
నిగువు,"""",మనోజ్ఞము,
నిగూఢము,"""","గుప్తము,దాపబడినదిరహస్యమైనది,దురవగాహము,తెలియనిది",
నిగృహీతుడు,"""","పట్టుకొనబడినవాడు,అడ్డగింపబడినవాడు,నిరోధింపబడినవాడు,ఎదిరింపబడినవాడు",
నిగృహ్యమాణము,"""",నిగ్రహింపబడుచున్నది,
నిగ్గడి,విణ,"కఠినము,మూర్ఖుడు",
నిగ్గు,"""",త్రోపుడు పోగా మిగిలినది,
నిగ్రహణము,సం.విణ,"అడ్డగించునది,అడచునది,ఆకపెట్టునది",
నిఘము,"""","నిడువు,వెడల్పు,ఎత్తు సమానముగాకలది",
నిఘాతకుడు,"""","కొట్టువాడు,హింసించువాడు",
నిఘ్రుస్టము,"""","రాపిడిపెట్టబడినది,చిత్రికమున్నగుసాధనములతో రాయబడినది,రుద్దబడినది,నూరబడినది,అరుగదీయబడినది",
నిఘ్రుష్యము,"""","ఘర్షింపదగినది,ఒరపెట్టదగినది",
నిఘ్నము,"""","లోనైనది,ఆధీనము,పూరితము,ఆహతము,గునింపబడినది",
నిచితము,"""","వ్యాప్తము,వ్యాపించినది",
నిచ్చలము,విణ,"నిష్కపటము,నిశ్చితము,యథార్ధము,నిర్మలము,నిర్దోషము,స్థిరమైనది,ఎడతెగనిది",
నిజమరి,"""",సత్యవంతుడు,
నిజము-నిక్కము,"""","యథార్ధము,సత్యమైనది",
నిబము,సం.విణ,"ఎప్పుడునుకలుగునది,సహజము,స్వభావముచేకలిగినది,స్వాభావికము,శాశ్వతము",
నిజ్యమానము,"""","శుద్ధిచేయబడుచున్నది,ఉదుకబడుచున్నది",
నిట్ట-నింట,విణ,"నిడుపైనది,పొడవుకలది,ఉన్నతమైనది,నిక్కినది,సూటిగాపైకిలేచినది,స్థిరము,చలింపనిది",
నిట్టలము,"""",అధికము,
నిట్టు-నిట్రు,"""",శుష్కము,
నిడి/నిడివి,"""",దీర్ఘము,
నిడు/నిడుపు,"""","దీర్ఘము,పొడువైనది",
నిడుద,"""","నిడుపు,దీర్ఘము",
నితాంతము,సం.విణ,అధికము,
,విణ,అత్యంతము,
నిత్తెము,విణ,శాశ్వతము,
నిత్యము,సం.విణ,"నియతముగానుండునది,ఏర్పాటుగాకలుగునది,ఎడతెగనిది,సతతము",
నిత్యశంకితుడు,"""","ఎప్పుడును జంకుగలిగియుండువాడు,ఎల్లప్పుడును సందేహముకలిగియుండువాడు",
నిదద్రువు,"""",దద్దురులులేనివాడు,
నిదర్శకుడు,"""","చూచువాడు,కనుగొనువాడు,కనుపెట్టువాడు,చూపువాడు,తెలుపువాడు,నిరూపించువాడు",
నిదర్శనము,"""","చూపునది,తెలుపునది,వెల్లడించునది,బోధించునది,కరపునది",
నిదిగ్ధము,"""","ఉపచితము,వృద్ధినొందింపబడినది,దిగ్ధము,పూయబడినది",
నిదిధ్యాసకుడు,సం.విణ,"తిరిగితిరిగి స్మరణముచేయువాడు,నిరంతరధ్యానముచేయువాడు",
నిదిధ్యాసితము,"""","మరలమరలస్మరింపబడినది,నిరంతరధ్యానముచేయబడినది",
నిదిశ్యమానము,"""","అజ్ఞాపింపబడుచున్నది,విధింపబడుచున్నది,చూపబడుచున్నది",
నిదిష్టము,"""","దర్శితము,చూపబడినది,ఆజ్ఞాపింపబడినది,విధింపబడినది,శాసింపబడినది",
నిదేగ్ధ,"""",పూయువాడు,
నిదేశకుడు/నిదేశి/నిదేష్ట,"""","చూపువాడు,ఆజ్ఞాపించువాడు,విధించువాడు",
నిదేష్టవ్యము,"""","నిదేశింపదగినది,ఆజ్ఞాపింపదగినది",
నిద్దము-నిద్దా,"""","స్నిగ్ధము,నున్ననిది,సాంద్రము,దట్టము,మనోజ్ఞము,మనోహరము,అధికము",
,విణ,"స్నేహయుక్తము,ప్రేమగలది,అధికము",
నిద్దురపోతు,"""","నిద్దురపోవు స్వభావముగలవాడు,నిద్రాళువు,అలసుడు,సోమరి",
నిద్రాణము,సం.విణ,"నిదురించునది,ముకులించునది",
నిద్రాళువు,"""","నిద్రాశీలుడు,నిదురపోతు",
నిద్రితము,"""","నిద్రించినది,ముకులించినది,మొగిడినది(మొగ్గ,పువ్వు,మొ..)",
నిధనుడు,"""","నివృత్తధనుడు,నిర్ధనుడు,బీద",
నిధ్యాతము,"""","ధ్యానింపబడినది,చూడబడినది",
నినంక్షువు,"""","నశింపగోరువాడు,కనబడకుండనుండగోరువాడు",
నినర్తిషువు,"""",నృత్యముచేయనిచ్చగించువాడు,
నినాది,"""","శబ్దించునది,మ్రోగునది,ధ్వనికలది,మొరఇంచునది,వాఇంచునది",
నినాదితము,"""","శబ్దితము,మ్రోగింపబడినది,మొరఇంపబడినది",
నినందిషువు,"""",నిందింపనిచ్ఛగలవాడు,
నినీషువు,"""",పొందింప నిచ్చగించువాడు,
నినుపు-నింపు,విణ,"మనోహరము,సమృద్ధము",
నిపఠితము,సం.విణ,పఠిoపబడినది,
నిపఠిత,"""","కృతపాఠుడు,పఠిoచినవాడు",
నిపాతకము,"""","పడవేయునది,క్రిందికితోయునది",
నిపాతనము,"""","పడద్రోయునది,పడగొట్టునది,క్రిందికిత్రోయునది,చంపునది",
నిపాతి,"""","పడునది,క్రిందికిపడద్రోయునది,క్రిందికివాలునది,నశించునది,నాశముచేయునది",
నిపాతితము,"""","పడద్రోయబడినది,కూల్పబడినది,చంపబడినది,సూత్రమునకువ్యతిరేకంగానిరూపింపబడినది",
నిపీడితము,"""","పిండబడినది,నలపబడినది,గట్టిగాఅదమబడినది,బాధింపబడినది,నొప్పింపబడినది",
నిపీతము,"""","త్రాగబడినది,పానము చేయబడినది",
నిపుణుడు,"""","ప్రవీణుడు,నేర్పరి",
నిప్పచ్చ-నిప్పచ్చరము,విణ,"మిక్కిలిపసిమికలది,శూన్యము,రిక్తము",
నిబంధకుడు,సం.విణ,నిబంధ,
నిబంధనము,"""",బంధించుటకు సాధనమైనది,
నిబంధి,"""","బంధించునది,కట్టునది,సంబంధించునది,మూలమైనది,నిబంధముకలది",
నిబద్ధి-నిబ్బద్ది,విణ,"సత్యము,నిజము",
నిబద్ధము,సం.విణ,"బంధింపబడినది,కట్టబడినది,అడ్డగింపబడినది,రచింపబడినది,కూర్పబడినది,చెక్కబడినది",
నిబర్హితము,"""",చంపబడినది,
నిబిడము,"""","సాంద్రము,దట్టము,దృఢము,గట్టిది",
నిబిడీకృతము,"""",నిబిడముగా చేయబడినది,
నిబిరీసము,"""",నిబిడము,
నిబోధకుడు,"""","గ్రహించువాడు,బోధించువాడు",
నిబ్బరము-నిబ్బరికము,విణ,"అధికము,గాటము,దృఢము,నిశితము,దిట్టరి,సాహసి,సాంద్రము,దట్టము,నిశ్చయము",
నిభము,సం.విణ,"సదృశము,సమానము,మిక్కిలిభాసిల్లునది",
నిభూతము,"""","(భయముచే)కొయ్యవారినది,మ్రాన్పడినది,అతీతము,కడచినది",
నిభ్రుతము,"""","నిశ్చలము,కదలనిది,స్థిరము,పూర్ణము,గుప్తము,కనబడనిది,గూఢము",
నిభ్రుతాత్ముడు,"""","స్థిరచిత్తుడు,దృఢచిత్తుడు",
నిమంత్రకుడు,"""","నిమంత్రణముచేయువాడు,నిమంత్రించువాడు",
నిమంత్రిత,"""",నిమంత్రించువాడు,
నిమంత్రితుడు,"""",నిమంత్రింపబడినవాడు,
నిమంత్ర్యమాణము,"""",మంత్రింపబడుచున్నది,
